iter	Passed	Remaining
0	73	73913
1	122	61287
2	185	61589
3	247	61683
4	313	62336
5	378	62640
6	451	64041
7	514	63831
8	578	63709
9	646	64001
10	715	64309
11	795	65490
12	889	67531
13	965	67973
14	1034	67960
15	1108	68151
16	1241	71787
17	1337	72984
18	1424	73539
19	1494	73241
20	1569	73168
21	1632	72590
22	1701	72283
23	1785	72624
24	1865	72737
25	1933	72414
26	1998	72018
27	2064	71661
28	2128	71258
29	2193	70923
30	2256	70536
31	2320	70190
32	2384	69879
33	2451	69637
34	2517	69413
35	2583	69193
36	2650	68977
37	2710	68619
38	2770	68274
39	2837	68101
40	2898	67797
41	2957	67463
42	3022	67276
43	3088	67114
44	3164	67152
45	3234	67090
46	3302	66972
47	3371	66877
48	3440	66777
49	3508	66665
50	3578	66586
51	3651	66573
52	3720	66472
53	3793	66465
54	3861	66344
55	3921	66101
56	3984	65918
57	4051	65800
58	4117	65669
59	4181	65509
60	4246	65373
61	4310	65210
62	4370	65009
63	4434	64852
64	4497	64701
65	4561	64557
66	4630	64479
67	4694	64336
68	4758	64206
69	4818	64020
70	4883	63898
71	4947	63770
72	5011	63636
73	5073	63489
74	5138	63378
75	5198	63201
76	5259	63041
77	5318	62869
78	5380	62732
79	5444	62615
80	5507	62488
81	5572	62379
82	5634	62247
83	5695	62113
84	5757	61982
85	5819	61846
86	5882	61734
87	5943	61598
88	6008	61502
89	6071	61389
90	6143	61366
91	6209	61281
92	6271	61166
93	6333	61043
94	6392	60900
95	6456	60800
96	6520	60698
97	6583	60591
98	6643	60464
99	6707	60370
100	6774	60295
101	6835	60177
102	6896	60060
103	6960	59968
104	7021	59852
105	7089	59792
106	7155	59719
107	7219	59628
108	7279	59502
109	7339	59387
110	7404	59305
111	7468	59212
112	7528	59092
113	7589	58988
114	7656	58923
115	7721	58840
116	7788	58781
117	7853	58702
118	7906	58532
119	7969	58441
120	8034	58367
121	8097	58276
122	8161	58189
123	8223	58092
124	8286	58005
125	8346	57896
126	8412	57826
127	8472	57719
128	8536	57636
129	8601	57564
130	8662	57465
131	8724	57367
132	8785	57268
133	8855	57231
134	8919	57152
135	8983	57069
136	9049	57002
137	9113	56925
138	9178	56854
139	9240	56765
140	9306	56694
141	9369	56611
142	9433	56533
143	9493	56435
144	9553	56334
145	9614	56239
146	9680	56174
147	9746	56111
148	9810	56034
149	9876	55965
150	9937	55874
151	9999	55786
152	10063	55710
153	10128	55642
154	10192	55565
155	10256	55487
156	10316	55396
157	10378	55309
158	10440	55222
159	10505	55154
160	10566	55065
161	10630	54989
162	10696	54925
163	10763	54867
164	10829	54804
165	10893	54730
166	10957	54654
167	11022	54586
168	11083	54501
169	11146	54423
170	11211	54354
171	11275	54278
172	11341	54216
173	11402	54127
174	11462	54037
175	11525	53959
176	11591	53895
177	11660	53848
178	11719	53754
179	11783	53678
180	11845	53598
181	11910	53529
182	11975	53462
183	12039	53393
184	12099	53301
185	12158	53207
186	12267	53332
187	12331	53260
188	12396	53194
189	12459	53116
190	12523	53044
191	12588	52977
192	12653	52910
193	12719	52843
194	12778	52750
195	12841	52675
196	12907	52611
197	12974	52551
198	13041	52493
199	13102	52410
200	13164	52328
201	13228	52260
202	13291	52182
203	13354	52109
204	13421	52048
205	13484	51974
206	13548	51901
207	13613	51835
208	13677	51764
209	13742	51696
210	13803	51617
211	13873	51566
212	13941	51512
213	14016	51480
214	14086	51430
215	14157	51386
216	14226	51333
217	14287	51252
218	14352	51184
219	14419	51122
220	14485	51059
221	14551	50996
222	14618	50934
223	14679	50853
224	14741	50777
225	14803	50698
226	14866	50624
227	14929	50551
228	14992	50475
229	15056	50405
230	15117	50327
231	15182	50257
232	15254	50216
233	15319	50147
234	15385	50083
235	15447	50006
236	15512	49940
237	15579	49879
238	15659	49861
239	15733	49823
240	15816	49811
241	15900	49804
242	15982	49787
243	16066	49779
244	16148	49762
245	16234	49757
246	16322	49761
247	16406	49747
248	16487	49727
249	16564	49694
250	16642	49662
251	16730	49659
252	16812	49640
253	16895	49623
254	16973	49587
255	17060	49581
256	17145	49568
257	17226	49542
258	17298	49491
259	17369	49436
260	17440	49380
261	17505	49308
262	17576	49255
263	17647	49199
264	17715	49134
265	17783	49072
266	17855	49020
267	17926	48962
268	17995	48901
269	18063	48839
270	18152	48829
271	18241	48821
272	18330	48815
273	18438	48855
274	18608	49058
275	18706	49071
276	18799	49070
277	18888	49056
278	18987	49069
279	19075	49052
280	19172	49056
281	19262	49044
282	19355	49039
283	19457	49054
284	19554	49058
285	19653	49066
286	19739	49039
287	19851	49076
288	19943	49064
289	20028	49034
290	20113	49005
291	20207	48996
292	20296	48975
293	20373	48923
294	20449	48870
295	20526	48819
296	20596	48753
297	20670	48694
298	20745	48638
299	20816	48572
300	20889	48510
301	20963	48452
302	21034	48386
303	21106	48323
304	21176	48255
305	21250	48196
306	21319	48124
307	21390	48059
308	21458	47986
309	21532	47927
310	21601	47857
311	21671	47788
312	21744	47725
313	21820	47671
314	21892	47608
315	21968	47552
316	22040	47487
317	22115	47430
318	22187	47365
319	22260	47304
320	22335	47244
321	22425	47218
322	22547	47259
323	22657	47272
324	22759	47269
325	22841	47224
326	22917	47166
327	22982	47086
328	23055	47022
329	23152	47006
330	23265	47023
331	23373	47027
332	23494	47058
333	23621	47101
334	23726	47099
335	23841	47114
336	23950	47118
337	24063	47129
338	24190	47168
339	24312	47194
340	24392	47140
341	24485	47109
342	24557	47039
343	24630	46970
344	24729	46950
345	24839	46950
346	24941	46935
347	25041	46917
348	25147	46908
349	25248	46889
350	25350	46872
351	25454	46858
352	25559	46847
353	25641	46792
354	25719	46730
355	25788	46650
356	25859	46576
357	25931	46503
358	26000	46423
359	26069	46345
360	26134	46259
361	26205	46185
362	26280	46116
363	26348	46037
364	26417	45959
365	26488	45885
366	26555	45802
367	26627	45730
368	26691	45642
369	26763	45570
370	26834	45495
371	26904	45419
372	26974	45343
373	27033	45247
374	27105	45175
375	27178	45104
376	27247	45026
377	27316	44950
378	27381	44865
379	27450	44788
380	27520	44711
381	27589	44633
382	27662	44563
383	27726	44477
384	27802	44411
385	27865	44324
386	27937	44252
387	28003	44169
388	28077	44100
389	28147	44025
390	28216	43948
391	28286	43872
392	28358	43799
393	28428	43724
394	28500	43652
395	28570	43576
396	28648	43514
397	28784	43538
398	28848	43452
399	28918	43378
400	28991	43306
401	29064	43235
402	29138	43166
403	29211	43094
404	29281	43018
405	29351	42942
406	29423	42869
407	29489	42789
408	29559	42712
409	29619	42623
410	29690	42549
411	29760	42473
412	29832	42401
413	29912	42339
414	29996	42283
415	30088	42239
416	30217	42246
417	30351	42260
418	30655	42508
419	30772	42496
420	30860	42442
421	30957	42400
422	31051	42356
423	31144	42308
424	31300	42347
425	31401	42310
426	31579	42377
427	31695	42360
428	31831	42367
429	31931	42327
430	32026	42280
431	32119	42230
432	32211	42179
433	32293	42115
434	32389	42068
435	32474	42008
436	32552	41938
437	32636	41876
438	32728	41824
439	32839	41795
440	32928	41738
441	33000	41660
442	33072	41582
443	33145	41506
444	33216	41427
445	33287	41347
446	33358	41268
447	33430	41190
448	33498	41107
449	33569	41029
450	33643	40954
451	33710	40869
452	33779	40788
453	33847	40706
454	33913	40621
455	33980	40537
456	34047	40454
457	34117	40374
458	34190	40299
459	34257	40214
460	34326	40135
461	34404	40063
462	34499	40013
463	34585	39951
464	34674	39894
465	34760	39832
466	34852	39778
467	34942	39720
468	35037	39669
469	35114	39597
470	35209	39544
471	35286	39473
472	35376	39415
473	35457	39347
474	35528	39268
475	35609	39200
476	35690	39132
477	35775	39068
478	35848	38992
479	35922	38916
480	36008	38853
481	36103	38799
482	36188	38735
483	36265	38662
484	36339	38586
485	36414	38512
486	36485	38433
487	36550	38348
488	36626	38274
489	36704	38202
490	36779	38127
491	36870	38069
492	36957	38007
493	37038	37937
494	37129	37879
495	37215	37816
496	37295	37745
497	37372	37672
498	37450	37600
499	37524	37524
500	37596	37446
501	37670	37370
502	37742	37292
503	37815	37214
504	37892	37142
505	37965	37065
506	38041	36991
507	38114	36914
508	38195	36844
509	38271	36770
510	38350	36699
511	38426	36625
512	38505	36553
513	38584	36482
514	38655	36403
515	38734	36332
516	38807	36255
517	38891	36188
518	38991	36136
519	39080	36074
520	39167	36009
521	39261	35952
522	39360	35898
523	39460	35845
524	39532	35767
525	39602	35687
526	39678	35612
527	39751	35535
528	39826	35459
529	39899	35382
530	39970	35303
531	40049	35231
532	40125	35156
533	40203	35083
534	40277	35007
535	40420	34991
536	40496	34916
537	40568	34837
538	40642	34760
539	40724	34690
540	40798	34615
541	40893	34555
542	40977	34487
543	41074	34430
544	41142	34348
545	41217	34272
546	41289	34193
547	41362	34116
548	41441	34043
549	41519	33970
550	41589	33890
551	41666	33816
552	41739	33738
553	41814	33662
554	41890	33587
555	41969	33515
556	42046	33440
557	42120	33364
558	42192	33286
559	42271	33213
560	42344	33136
561	42413	33055
562	42482	32975
563	42555	32897
564	42632	32823
565	42705	32745
566	42784	32673
567	42861	32598
568	42931	32519
569	42998	32437
570	43066	32356
571	43138	32278
572	43200	32193
573	43272	32115
574	43360	32049
575	43437	31974
576	43509	31897
577	43578	31817
578	43645	31735
579	43712	31654
580	43783	31575
581	43858	31499
582	43931	31422
583	44002	31344
584	44071	31264
585	44140	31184
586	44211	31106
587	44286	31030
588	44363	30956
589	44444	30884
590	44516	30807
591	44588	30729
592	44662	30653
593	44751	30587
594	44833	30516
595	44916	30446
596	45002	30378
597	45093	30314
598	45158	30231
599	45236	30157
600	45313	30083
601	45381	30003
602	45460	29930
603	45538	29856
604	45618	29783
605	45703	29714
606	45776	29637
607	45851	29561
608	45926	29486
609	46004	29412
610	46086	29341
611	46164	29267
612	46236	29190
613	46308	29112
614	46382	29036
615	46454	28958
616	46530	28883
617	46608	28809
618	46685	28735
619	46758	28658
620	46830	28580
621	46906	28506
622	46983	28431
623	47056	28354
624	47123	28273
625	47194	28195
626	47256	28112
627	47332	28037
628	47403	27959
629	47484	27887
630	47559	27812
631	47636	27737
632	47710	27661
633	47800	27594
634	47874	27518
635	47956	27446
636	48035	27373
637	48108	27296
638	48186	27222
639	48264	27148
640	48335	27071
641	48406	26993
642	48487	26920
643	48557	26842
644	48634	26767
645	48708	26691
646	48783	26616
647	48855	26539
648	48933	26464
649	49010	26390
650	49087	26315
651	49162	26240
652	49243	26167
653	49328	26097
654	49408	26024
655	49489	25951
656	49563	25875
657	49640	25800
658	49714	25724
659	49787	25648
660	49862	25572
661	49939	25497
662	50032	25431
663	50110	25357
664	50178	25277
665	50258	25204
666	50334	25129
667	50408	25053
668	50485	24978
669	50558	24901
670	50638	24828
671	50715	24754
672	50792	24679
673	50873	24606
674	50949	24531
675	51034	24460
676	51107	24383
677	51183	24308
678	51263	24235
679	51341	24160
680	51415	24084
681	51495	24011
682	51571	23935
683	51648	23860
684	51718	23782
685	51786	23704
686	51864	23629
687	51938	23553
